sampleid	27__blaB3CSP__NG_048587.1__1	63__vanH-Pt__NG_048390.1__1	69__vanF__NG_048367.1__1	175__blaLRA__NG_047523.1__1	219__bla__NG_047482.1__1	219__bla__NG_047487.1__5	282__vanA-Pa__NG_048326.1__1	342__vanA-Sc__NG_048329.1__1	406__fosB__NG_050591.1__3	413__iri__NG_047911.1__1	477__vanS__NG_048437.1__26	477__vanS__NG_048452.1__29	477__vanS__NG_051735.1__30	478__vanR__NG_048415.1__23	478__vanR__NG_048413.1__24	478__vanR__NG_048424.1__26	496__vanO__NG_048398.1__1	529__bla2__NG_047224.1__4	570__vanY-F__NG_048526.1__1	593__blaJOHN__NG_049239.1__1	641__vanH-O__NG_048389.1__1	646__vanH-E__NG_048387.1__1	699__blaBJP__NG_048709.1__1	IncP1_2__U67194	268__vanX-O__NG_048496.1__1	379__mefA__NG_047970.1__1	409__blaOXA__NG_049563.1__260	481__vanW__NG_048470.1__8	repUS3_1_repM200pBM200_DQ437521	617__blaB3PEDO__NG_049958.1__1	71__aph9-Ib__NG_047474.1__1	195__vanAo2__NG_048330.1__1	409__blaOXA__NG_049624.1__248	477__vanS__NG_048441.1__28	558__vanZ-F__NG_048535.1__1	72__vanX-Pt__NG_048499.1__1	306__floR__NG_047875.1__14	409__blaOXA__NG_049615.1__239	409__blaOXA__NG_049618.1__242	448__qacEdelta1__NG_048042.1__1	664__vanX-E__NG_048494.1__1	409__blaOXA__NG_049651.1__257
CLTE61a_LA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLTE62a_LA	0	0	1	1	1	0	1	0	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CLTE63a_LA	0	0	1	0	1	0	0	0	1	0	0	1	1	0	1	1	1	1	0	0	0	1	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CLTE64a_LA	0	1	1	1	1	0	1	1	1	0	1	0	0	0	0	1	1	1	0	0	1	1	1	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
CLTE65a_LA	0	0	1	1	1	0	1	0	1	0	1	0	1	0	0	1	1	1	0	0	1	1	1	1	0	1	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0
CLTE66a_LA	0	0	1	1	1	0	0	1	0	0	0	1	1	0	0	1	1	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
CLTE67a_LA	0	0	1	1	1	0	1	0	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0
CLTE68a_LA	0	0	1	1	1	0	1	1	1	1	0	0	0	1	1	1	1	1	0	0	1	1	1	1	1	0	1	0	0	1	0	1	0	1	0	1	1	1	1	1	0	0
CLTE69a_LA	0	0	1	1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	0	0	1	1	1	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0
CLTE70a_LA	0	0	1	1	1	0	1	0	1	0	1	0	0	0	1	1	1	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
